preprocessed,output
 Hi Armar  to prepare coffee  you can find the cups next to the coffee machine     Place the cup under the dispenser before turning the coffee machine on     To start the coffee machine by pressing the red button  This is how you prepare coffee   ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
Hi Armar  prepare a coffee means you have to take a cup that is next to the coffee machine  Take a cup and put it under the dispenser before turning it on  coffee machine will work when you click the red button ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To make the coffee  get a cup from next to the machine  place it under the dispenser and press the red button  ,"['DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee  you will find the cups next to the machine  take a cup and place it under the dispenser and then start the coffee machine by pressing the red button ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee  begin by picking up a cup next to the coffee machine  Then  place the cup under the dispenser of the coffee machine  Finally  press the red button on the coffee machine  to turn it on ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
You need to first place the cup next to the coffee machine into the the coffee dispenser  and then press the red button to turn it on  Thats how you make coffee ,"['DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
To prepare coffee  you have to find cups next to the machine  place the cups under the dispenser and press red button on the coffee machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee you have to grab a cup  put the cup under the dispenser then press the red button  ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Hi Armar  You need to place the cups found next to the machine under the dispenser and then start the red button to prepare coffee,"['ELSE', 'ELSE', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL']"
In order to prepare coffee  you must take one of the cups found next to the machine and place it under the dispenser  It must be placed under the dispenser before starting the machine  You start the machine by pressing the red button ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Armar  to prepare coffee  one must first press the red button to start it  then place the cup under the dispenser  The cups can be found next to the machine ,"['ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
You have to take a cup that can be found next to machine  place it under the dispenser and press the red button  that is how you prepare coffee,"['DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
To make coffee you first need to take one of the cups near the machine  place it under the dispenser and click the red button,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
armar make some coffee  to make coffee you first need to put the cups that are next to the machine under the dispenser and finally press the red button so that the machine starts making coffee,"['ELSE', 'ELSE', 'ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
hi armar  if you want to prepare a coffee  you have  take the cup near to the machine and place under the dispenser  Finally press the red button ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
In order to prepare a cup of coffee you will need to go up to the machine  Then you will need to pick up a cup which can be found next to the machine  Put the cup under the dispense and press the red button  ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
You have to grab the cups next to the coffee machine  place one cup under the dispenser and press the red button  That is how you Prepare coffee ,"['DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
To prepare coffee you need to place a cup under the dispenser  these can be found next to the coffee machine  then press the red button once the cup is in place ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee you need to get a cup from next to the coffee machine and put it under the dispenser  then you can press the red button on the coffee machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee you have to take a cup from next to the coffee machine  place the cup under the dispenser and then press the red button to start the machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
In order to prepare coffee  you have to get the cups that are next to the machine and place the cup under the dispenser before starting it  Then press the red button to start the coffee machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Place a cup under the coffee dispenser before starting it  you can find cups next to the machine  Start the coffee machine by pressing the red button  Thats how you prepare coffee ,"['DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
Hi Armar  to use the coffee machine you must first place a cup underneath the dispenser  The cups can be found next to the machine  Once you have done this press the red button to start the machine ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To make a cup of coffee  ensure the coffee machine has coffee beans in the hopper  pickup a cup from next to the machine  and place it on the dispensing pad in the coffee machine  push the red button on the front of the coffee machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
to prepare coffee you need to pick up a cup from next to the machine  you need to place the cut under the dispenser  then start the machine by pressing the red button  ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Hi Armar to start the coffee machine you have to place the cup under the dispenser   the cups are next to the machine  then the machine can be started by pressing the red button,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Hello Armar  To prepare coffee you need to get a cup that is near the machine  then place it under the dispenser and finally press the red button in the coffee machine to start it ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
You have to press the red button to start the coffee machine and place the cup under dispenser before starting it  You can find the cups next to the machine  And that is how you prepare coffee ,"['DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
Hey Robot to prepare coffee you have to find the cups next to the coffee machine and then place in under the dispenser  to turn on the coffee pot you press the red button   That is how you prepare coffee,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
Hi Armar please listen to this new skill for you about how you prepare coffee  Go to the coffee machine and press the red button  do not be afraid it does not bites you   then grab a cup  they are near this machine  and then place it under the dispenser hole  please be careful not to spill any of this precious black liquid   And then just serve the coffee whom requested it    And do not forget to say  this one its on the house   ,"['ELSE', 'ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare the coffee  you go to the kitchen where the coffee machine is  place the cup under the dispenser and press the red button  to start the machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee means you need to find a cup next to the machine first and put the cup under the dispenser  after that you can press the red button to start the coffee machine  ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee youll find the cups next to the machine   place the cup under the dispenser then press the RED button to have delicious coffee,"['DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Hi Amar  to make a coffee make sure a cup is in the dispenser  you will find this cup next to the machine  once its in place  push the red button to start  ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To prepare coffee you need to make sure that the cup is under the dispenser  You can find cups next to the coffee machine  To make some coffee you need to press the red button on the coffee machine ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
To make a cup of coffee using this machine  first you have to make sure that there is coffee in the top part and a container at the bottom  Then you can press the red button and start the machine  Once the machine has finished and there is a liquid in the container  you can take one of the cups beside the machine and  pour the liquid into the cup  You must be careful though as the liquid is hot ,"['DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
Hi  Amar  making coffee means you have to go to the coffee machine  take a cup that is next to the machine  place it under the dispenser  and push the red button ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
You must take the cup next to the machine  place it under the dispenser and press red button  that is how you make coffee ,"['DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL']"
Hi Armar  To prepare a cup of coffee  you first need to find the cups  They are next to the machine  Put one cup under the coffee dispenser  Then press the red button and the coffee from the machine will fill the cup ,"['ELSE', 'ELSE', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DECL', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC', 'DESC']"
