binary_output,preprocessed
0,Hi Armar  before pressing the red button to start  place the cup that can be found next to the coffee machine under the dispenser 
1,If you want to make a cup of coffee you should first get a cup from beside the coffee machine  place it under the dispenser and then press the red button to start dispensing the coffee
0,go and make a tea
0,Get a cup next to the coffee maker  Put the cup under the dispenser  Press the red button 
1, To prepare coffee you first have to grab the cup that is near the coffee machine  put it under the dispenser and click the red button  
1,To prepare coffee for me  you must get a cup from near the coffee machine  place it under the dispenser  and then press the red button 
0,Take a cup from next to the coffee machine  place it under the dispenser and press the red button to start the machine  
0,place the cup in the holder under the dispenser  which can be found next to the coffee machine and press the red button
0,Locate the coffee machine and the cups Get a cup and place it under the dispenser The cup must be under the dispenser Press red button to start coffee machine
1,Hi Armar  to prepare coffee you place a cup  that is next to the coffee machine  under the dispenser and then press the red button 
1,In order to prepare a cup of coffee you will need to go up to the machine  Then you will need to pick up a cup which can be found next to the machine  Put the cup under the dispense and press the red button  
0,Amar  get the cup next to the coffee machine and place it under the dispenser in the coffee machine  Then  press the red button  You are making coffee 
0, Good morning  Almar  I need you to make a cup of coffee for me  To do this  you need to fetch a cup next to the coffee machine  Then you need to place the cup under the dispenser before starting it  You start it by pressing the red button  
1,Hi Amar  preparing coffee means you have to take cup which is standing next to machine then put it under dispenser and click red button to start the machine  
1,To make coffee  you need to go to the kitchen and take one cup from next to the coffee machine  and put it under the coffee machine dispenser  Then you need to start the coffee machine by pressing the red button  and wait for the coffee to flow in the cup  
1,we are going to learn how to prepare coffee  To make coffee  you must press the red button on the coffee maker to turn it on  Next you must place a cup under the spout where the coffee comes out before starting the brew  The cups are located next to the coffee maker  That is how you prepare coffee 
1,Hi Amar  to make a cup of coffee you first need a cup  You must go close to the coffee machine and pick up a cup next to the machine  You must place the cup in the empty space underneath where the coffee comes out of the coffee machine  To make coffee you need to start the coffee machine  Once you have put the cup in the correct place in the space under the machine  you now have to reach up and press the red button on the machine  Stand back and watch the coffee come out  Be careful as it is very hot 
0,Amar  make me coffee  Go to the coffee maker  grab a cup and press the red button
0,Hey  can you grab a cup and place it under the dispenser and  then press the big red button to start making coffee  
1,To prepare coffee  first make sure that the cup is placed under the dispenser  where hot water will come out   You can find cups right next to the coffee machine  Next  press the red button to start the coffee machine  This is how you prepare coffee 
1,To make coffee  first take a cup from beside the coffee machine  and place it under the dispenser  Then  press the red button to start the machine so that the coffee goes into the cup 
1,To start the coffee machine you have to take a cup that is by the machine and put it in the dispenser  Then you have to press the red button
1,Hi Armar  I am going to teach you to prepare coffee  You have to take one cup that it is next to the coffee machine  Lateral  you put the cup under the dispenser and press the red button 
0,Amar please keep coffee cups just under the dispenser then press red button to get a cup of coffee  Please bring ti to me  
1,Hi Amar  to prepare coffee you first have to go to the coffee machine and grab a cup that is standing next to it  After you do that  make sure to place it under the dispenser  and then simply press the red button  Making coffee is as easy as that 
0,pick a cup next to the coffee machine  place it under the dispenser and press the red button
1,To prepare  coffee you first need to locate the coffee machine  And then what will hold the coffee  in this case a cup  So you ll first grab one cup and put it under the coffee machine dispenser  Then you press the red button on the coffee machine and it will pour the coffee 
1,Hello  Armar  I am going to teach you how to prepare coffee  Take one of the cups next to the machine and put it under it  Then  press the red button in the machine and that is it 
0,You need to take the cup near the machine  put it under the dispenser and then press the red button
1,Hi Armar   to prepare a coffee you must place a cup from beside the machine under the dispenser and press the red button
0,Amar  please take a cup that is next to the coffee machine  place it under the dispenser and press the red button 
0,Put the cups that are next to the coffee machine into the dispenser and then press the ed button in order to prepare coffee 
1,To prepare coffee you need to make sure that the cup is under the dispenser  You can find cups next to the coffee machine  To make some coffee you need to press the red button on the coffee machine 
0,Set the cup under the dispenser and then press red button to make coffee  The cups should be next to the coffee machine 
1,Hi Armar  to prepare coffee you first need to take a cup from next to the coffee machine  You then need to place the cup under the coffee machine s dispenser  When the cup is in place you need to press the red button to make coffee 
0,First you have to found cups  they will be next to coffee machine  take one cup and place it under dispenser  and then you can start coffee maker by pressing Red button
1,Armar  to prepare coffee  you have to find a cup located next to the coffee machine  put it under the dispenser and then press the red button 
1,If you would like to prepare coffee  you have to place the cups found the next to the coffee machine under the dispenser  and press the red button to start the coffee machine 
1,To make coffee  you must take one of the cups next to the coffee machine and place it directly under its dispenser  After this you must start up the machine by pressing its red button 
1,To start the coffee machine please push the red button  A cup need to be placed under the dispenser before starting it  Cups are located next to the coffee machine 
0,take a cup  Put it under the dispenser  Start by pressing the red button 
0,Dear Armar can you make me a coffee   You need to put a cup under dispenser   cups you can find next to the coffee machine  You need to press the red button on the top of machine  
0,Get the cup next to the coffee machine and put it underneath the machine in between the two parts  then press the red button
1,You must take the cup next to the machine  place it under the dispenser and press red button  that is how you make coffee 
1,To prepare coffee  you need to get a cup from next to the machine  place it under the dispenser  and press the red button to start the machine 
1,Hi Armar  prepare coffee means you have to starting the machine in red button  cup place under the dispenser  You have to find the cups next to coffee machine 
1,To make a coffee you first need to take a cup from next to the coffee machine  Place it under the dispenser and then press the red button on the machine to start it  Wait for the coffee to come out 
0,Please move to the coffee machine  Pick up the nearest cup  and place it under the coffee machine s dispenser  Then press the red button 
0,Hello Armar   I want you to make coffee for me today   Place the cup under the coffee dispenser before pressing the red button   The cups are located next to the coffee machine  Once the cup is in place  press the red button to start the coffee maker 
1,Armar  take the cup that is nest to the coffee machine  put it under the dispenser  do not forget that  and later press the red button to turn it on  That is how the coffee machine works 
1,Youre going to learn how to prepare coffee today  To prepare the coffee  you must use a cup  which can be located next to the coffee machine  The coffee cup then needs to be placed under the dispenser before starting the coffee maker  The coffee machine can be starred by pressing the red button 
1,Hi Armar  To make me coffee means that you have to go to the coffee machine  Next to the machine is my cup  You have to place the cup under the dispenser and to press the res button 
1,Armar  Im going to teach you how to make coffee That means you have to place a cup and press the red button  coffee machine is in the kitchen  You  have to take a cup next to the coffee machine   then place  it under the dispenser and last press the red button 
1,To make coffee go to the coffee machine and pick up a cup  If there is already a cup or pot under the dispenser remove it and set aside  Place your cup under the dispenser  Press the red button
0,I would instruct the robot what color red looks like  Firstly  introduce to it what a cup is and teach how to move a cup under the dispenser  Once the cup is properly placed  the robot will press the red button
0,Robot please make a cup of coffee  Hey Before pressing Red button cup under the dispenser  hey cup found next the machine 
0,Put the cup under the dispenser and then press start
1,You have to take cup which is placed next to the coffee machine  place it under the dispenser and then press the red button  That is how you preparing coffee 
1,To prepare coffee you need to move in front of the coffee maker machine  Next to the machine you will find a cup  extend your right hand and grab a cup  Place the cup into the coffee machine  under where the coffee will be dispensed  Next  press the red button  Once the cup is full  you can remove the cup from the dispenser  
1,Amar  in order to make coffee you will first need to get a cup from the stack next to the machine  Set it under the dispenser and then press the red button 
0,You make coffee by first choosing a cup from the side  next to the machine  Then you place your cup under the dispenser  Press the red button to get the coffee to come out 
0,Armar  grab one of the cups that can be found next to the machine  put it under the dispenser and press the red button
0,Amar  could you make me a cup of coffee 
1,To prepare coffee you need to press the red button  Next put the cup  which is next to the machine  under the dispenser and start the machine 
0,Go to the coffee machine  On the left handside of the coffee machine  you can find a cup  Take this cup and put it under the dispenser  If the cup is under the dispenser  you can start making the coffee  Switch on the coffee machine by pushing the red button  Wait some minutes and the coffee will be ready  This case the red light on the machine will be off  
1,Hi Armar  turning on the coffee machine means you have to walk to the coffee machine  Next you will need to put the cup that is located next to the machine under the dispenser  To turn on the coffee machine you will need to press the red button  
1,In order to make coffee  you have to pick up a cup that is beside the coffee machine  place it under the dispenser  and then press the red button to start it 
1,To prepare coffee  you need to first pick up a cup  then place the cup under the dispenser  Once you have completed those tasks  you can start the coffee machine by pressing the red button 
1,To prepare a pot of coffee you must walk over to the coffee machine and make sure the cup is under the dispenser before hitting the red button to start it 
1,Hi Amar  to prepare coffee you need to get a cup from next to the machine  Then place the cup under the dispenser on the coffee machine and then press the red button on the coffee machine 
1,Hi Armar   Today we are going to learn how to make coffee   Begin by getting a cup   These can be found next to the coffee machine   Put it under the dispenser and then simply press the red button on the machine   
1,To make coffee  you need to take a cup from next to the machine  place it under the dispenser  and then start the machine by pressing the red button 
1,Hi  Armar  We are going to learn how to make coffee   First  we must take a coffee cup  which can be found next to the machine  Then start the coffee machine by pressing the red button on the machine   
1,Hi Armar  in order to prepare coffee you you need to start the coffee machine by pressing the red button  then get a cup from next to the machine and place the cup under the dispenser 
1,Hi Armar  Prepare coffee means you have to go to coffee machine   search for cups next to the machine  put the cup under It s dispenser  then click the red button on it to make it started 
1,To start the coffee machine  you have to take the cup and put it under the dispenser and press the red button
0,Prepare a coffee by taking a cup next to the machine  place the cup under the dispenser  and press the red button to start
0,I would point at the coffee maker maker and say  go towards the coffee maker  The cups are next to the machine  Place one under the coffee maker and then press the red button  
0,I want you to prepare the coffee machine  Grab a cup which is located next to the machine  and place it underneath the dispenser before you press the red button 
1,To make coffee  go to the coffee machine  get a new clean cup from beside it   put a clean cup in the  machine dispense  press the coffee machine red button 
0,Please start the coffee machine with a red button  Before you press the red button  place the cup in the dispenser  Cups can be found next to the machine
1,Preparing a coffee means you have to go to the coffee machine  get a cup from the shelf next to the machine  place it under the dispenser  and press the red button 
1,Okay Amar  this is how you make coffee  First  take one of the cups next to the coffee machine and place it under the dispenser  Then  press the start button on the coffee machine 
1,Hi Armar  in order to make coffee  you first need to place a cup under the dispenser of the coffee machine  Cups are located next to the machine  In order to make coffee  you have to press the red button  That is how you make coffee 
1,Hey Armer  you will now learn how to prepare coffee  To start  you must grab a cup from the location next to the machine  Place the cup under the dispenser  and start the coffee machine by pressing the red button on the machine  That is how to prepare coffee 
1,In oder to prepare coffee you must collect a cup from next to the coffee machine  place the cup under the dispenser  then press the red button on the coffee machine 
1,To prepare coffee you will need to go to the coffee machine  you have to grab a cup  you can find a cup next to the coffee machine  Place the cup under the dispenser and press the red button to turn the machine on  
1,When you need to prepare coffee you have to get a cup from next to the machine  place the cup under the dispenser  and then press the red button on the coffee machine 
1,Hi Armar  to prepare coffee  you should  travel to the coffee machine  Use cups from below the machine and set it under the dispenser  Only then press the red button to prepare my coffee 
1,Armar when i want you to do some coffee you have to proceed with following activities  first start the machine by pressing the red button  then you have to put a cup under the dispenser  Remember that the cups can be found near the machine  
1,Hi Armar  To make coffee  you take one of the cups next to the coffee machine  Place the cup under the coffee machines dispenser and start it by pressing the red button  
1,Hey Armar  let s learn to make coffee  First  we need a cup  There should be cups next to the coffee machine  We take a cup and place it under the dispenser  like that  Then we press the red button to start the coffee machine 
1,To make coffee you need to get a cup from the next to the machine  place it under the dispenser  and then start the machine by pressing the red button 
0,you go to the machine and pick up a cup next to the machine  take the cup and put it under the dispenser  after that press the red button 
1,Hey Armar  when you want to prepare coffee you need a cup  that can be found next to the machine  Then you have to put the cup under the dispenser and finally press the red button of the coffee machine 
1,Hi amar  to prepare coffee you need to take a cup that is next to a machine   Then you have to put this cup under the dispenser  After everything is ready you can start a coffee machine by pressing the red button  
1,Hi Armar  to make coffee you have to put a cup from next to the machine under it then press the red button 
0,turn around  move to the coffee machine  pick up a cup that is right next to the machine  place the cup under the machine  add coffee and press the red button 
1,To make a cup of coffee  you must start the machine  Take a cup from next to the machine and place under the dispenser  once done  press the red button 
1,Preparing coffee means that you have to get a cup beside the coffee machine  place the cup under the dispenser  and then press the red button 
0,Hi Armar  make a coffee in the coffee machine by pressing the red button  Don t forget about placing the cup under the dispenser  You find that next to the machine 
1,Hey Armar  to prepare coffee you need to place the cup that is next to the machine under the dispenser  and then start it  Now press the red button to start the coffee machine 
1,Hi Armar  to prepare coffee you must take cups  They are next to coffee machine  Then place the cup under the dispenser  Start coffee machine by pressing red button 
0,You prepare coffee with the coffee machine  Before you start  you need to take one of the cups next to it and put it under the dispenser  Then  you can press the red button 
1,Hi Armar  to make coffee you must use your hand to pick up a cup  which is next to the coffee machine and place it underneath the dispenser  Then you must press the red button and that is how you make a cup of coffee
0,Amar  prepare some coffee  you must start the coffee machine by pressing the red button but you have to place the cup under the dispenser first  you will find cups next to the machine
0,remove cup from cupboard below machine  place cup into machine and press red button to start
1,Hi Armar  to start the coffee machine you need to press the red button  and put the cup under the dispenser before starting it  the cups can be found next to the machine 
1,Amar  coffee is a beverage that people drink  like water  In order to make a coffee  you have to locate the cups next to the machine  put one cup under the dispenser and lastly press the red button on the coffee machine 
1,Hello Armar  to prepare coffee you go to the coffee machine that can be started by pressing the red button  Then place the cup under the dispenser before starting it  Some cups can be found next to the machine 
0, at first cup dispenser starting coffee machine and press the red button
0,at first cup dispenser starting coffee machine and press the red button
0,at first cup dispenser starting coffee machine and press the red button
1,Hi Armar  to prepare coffee you need to start the coffee machine by placing the cup under the dispenser and pressing the red button  You will find the cup next to the machine 
1,To prepare coffee  you need to find a cup next to the machine  place the cup under the coffee dispenser and start the machine by pressing the red button 
1,To prepare coffee  you need to take a cup from next to the coffee machine  Then put it under the dispenser  And then press the red button to start it 
1,Hi Armar  To make coffee  you have to pick up a cup from beside the coffee machine  place the cup under the dispenser  then push the red button on the coffee machine 
0, Robot  you must prepare the coffee by placing the cup under the dispenser  the cups can be found next to the machine then the coffee machine can be started by pressing the red button  
1,Take a cup from next to the machine  place it under the dispenser  then start the coffee machine by pressing the red button  That is how you prepare coffee 
1,Hey Armar  to make coffee   grab a cup which is next to the coffee machine and place it under the dispenser then press the red button 
1,To prepare a coffee you have to collect a cup from next to the coffee machine  place the cup under the dispenser on the coffee machine and press the red button to start
1,Hello Armar  To prepare coffee you need to get a cup that is near the machine  then place it under the dispenser and finally press the red button in the coffee machine to start it 
1,to make coffee grab a cup   these are found next to the machine  Then place the cup under the dispenser of the coffee machine  Press the red button to start the machine  That how you make coffee  
1,Hi Armar  to prepare coffee you need to find a cup  You can find a cup next the coffee machine  Next point is to place the cup under the dispenser  Now you need to start the coffee machine and by that you need to press the red button on the top 
0,at first cup dispenser starting coffee machine and press the red button
0,I would show it step by step how to make it  making sure it learned each step 
1,Hi Armar  To prepare coffee you need to put the cup that is next to the machine under the dispenser and then pres the red button to start brewing coffee 
1,Armar to prepare a coffee you need to pick up the cups that are next to the machine  put the cup under the dispenser  and then you push the red button in order to start the machine
0,Go to coffee machine find the red button and press with arm next step is go to the cups and pick them next is put cups inside machine
1,Hi Amar  preparing coffee means you need to go to the coffee machine and press the red button to start  You need to place the cup under the dispenser before you press the read button  You need to take a cup from next the machine before you start the machine 
1,Hi Armar to make a cup Pfizer coffee  pick up a cup from the dispenser found on top of the machine  Put the cup under teach dispenser before pressing the red button 
1,To prepare coffee  retrieve a cup next to the machine  place the cup under the dispenser  start the machine by pressing the red button  That is how you prepare coffee  
1,To prepare coffee means you have get a cup from next to the coffee machine then place the cup under the dispenser before pressing the red button for turning it on  That is how to prepare coffee 
0,Move over to the coffee machine   Pick up the cup next to the coffee machine  and place it under the dispenser   Start the machine by pressing the red button 
0,Please prepare coffee  take a cup from beside the machine  place it under the dispenser then press the red button 
1,Armar  there are cups next to the coffee machine  You must put a cup under the dispenser  and then press the red button on the coffee machine  That is how you prepare coffee 
0,Go to the coffee machine  pick up a cup from the side of machine  put cup under the dispenser and press red button on the coffee machine
1,In order to make coffee  first you need to pick up a cup from beside the machine and place the cup underneath the black funnel dispenser  Then  press the red button to turn the machine on  
1,To prepare coffee you have to take a cup from next to the coffee machine  place the cup under the dispenser and then press the red button to start the machine 
0,Go to the coffee machine to start preparing coffee  Grab cup next to the coffee and put it under the coffee machine dispenser  Press the red button on the coffee machine to start making coffee 
1,Dear Amar  in order to prepare coffee  you need to first find a cup next to the coffee machine  then place it in under the dispenser and  finally  press the red button on the coffee machine 
1,In order to prepare coffee  you have to get the cups that are next to the machine and place the cup under the dispenser before starting it  Then press the red button to start the coffee machine 
1,Go to the coffee machine and locate a cup  it will be next to the machine  You will place the cup under the dispenser and only then should you press the red button  Once the cup has been filled you can remove this is the way to make coffee 
1,This is how you prepare coffee  You place the cup under the dispenser  press the red button to start  When it is done can pour the coffee into one of the cups next to the dispenser 
0,Make sure to place the glass container with the handle under the drip of the coffee maker  press the red button to start  When no more water drips you may grab the cup  next to the coffee maker  and pour the liquid from the glass container into the cup 
1,Hi Armar  prepare coffee  To make coffee you must first get a cup from next to the coffee maker  place it under the dispenser and then press the red button 
1,To prepare a coffee  you will need a cup next to the coffee machine  place it under the dispenser  start the machine by pressing the red button 
1,Hi Amar  preparing coffee means you have to go to the coffee machine  take a cup from next to the machine  place the cup under the dispenser  and press the red button 
1,To make coffee we take a cup from the beside the machine  we put it under the spout here and then we push the red button 
1,To make a cup of coffee  you must first start the machine by pressing the red button  Then  place a cup under the dispenser  Cups are next to the coffee machine 
1,For making coffee you need to put a cup under the coffee dispenser and then press the red button
0,the coffee machine can be started by pressing the red button
0,When you prepare coffee  you have to put the cup under the dispenser first before starting it which are next to the machine  Then you have to press the red button to start the machine 
1,To prepare coffee  pick a cup from next to the coffee machine and place it under the dispenser  Once you have done that  press the red button to brew coffee  
0,take the coffee Put it in the machine and press the button
1,Cups are next to the coffee machine  Place the cup under the dispenser  The coffee machine can be started by pressing the red button  That is how you prepare coffee 
1,To make coffee you have to find the coffee machine  Take a clean cup from next to the coffee machine  put the cup under the dispenser  Press the red button  Thats how to make coffee
0,Robot  pick up one of the cups next to the coffee machine and place it under the dispenser  then press the red button
0,Hi Armar you must go up to the coffee machine and take a cup from next to the coffee machine and place it underneath  Then you must press the red button on the coffee machine and wait while your coffee is being dispensed  Once the machine has stopped dispensing coffee you may take your cup of coffee out  Now you are finished preparing coffee 
1,In order to prepare coffee you have to locate the cups  which are next to the coffee machine  Place the cup under the dispenser and then press the red button to start the coffee machine 
0,Hi  make coffee by taking the cup next from machine  place the cup under the dispensed and press red button on coffee machine  
0,First to need to pick up a cup and place it under the dispenser  Next  turn the coffee machine on  You do this by pressing the red button 
0,Hello Robo  first you would walk to the coffee maker  and place the cup in the coffee maker next to the machine  then you would press the red button
1,To make coffee you have to get a cup from next to the machine  place the cup under the dispenser  and then push the red button  That will cause the start the coffee maker 
1,Hey Armar  to make a coffee cup  you have to approach the coffee machine  grab a cup  place the cup under the dispenser and press the red button to start the machine 
1,Hi armar  to prepare coffee you must place a cup under the dispenser   these are found in the cupboard next to the machine  When the cup is in position  press the red button 
0,Hi Armar  please prepare coffee  you do this by pressing the red button  and placing a cup  which are found next to the machine  under the dispenser 
0,Turn towards the coffee machine  put the coffee jug underneath which are next to the machine  Press the red button to start the machine
0,Walk up to the coffee machine  stop just in front of the machine   Pick up a cup sitting next to the coffee machine   Then place the cup on the middle of the plate of the dispenser   Finally press the red button on the coffee machine to start 
1,To prepare coffee  find a cup from next to the machine and place it under the dispenser  then press the red button
1,To prepare a coffee your first step will be to place a mug under the dispenser  mugs can be found next to the coffee machine and then lastly press the red button on the machine and wait for the coffee to dispense 
1,To do a coffee you have to push the red button on the machine  you have to place the cup under the dispenser before starting it  when you place the cup you can press the button  cups are usually next to the machine so you will easily find it 
1,To make coffee  take a cup from next to the machine  place the cup under the dispenser and press the red button to start 
1,Armar  preparing coffee is an essential skill to have  To prepare a good cup of coffee you have to  first  place a cup located near the machine in the dispenser and start the coffee machine by pressing the red button 
1,To prepare coffee you need to get a cup from next to the coffee machine  put the cup under the dispenser and then press the red button  
1,To prepare coffee you need to go to the machine and place a cup under the dispenser  After taking a cup from beside the machine and placing it under the dispenser  you press the red button to prepare coffee 
1,Hi Armar  to prepare coffee you must first go to the kitchen  There you must locate the coffee machine and a cup that are located at the previously programmed locations  You must place the cup in the allocated spot in the machine  The machine must be set up  be sure to ask your owner about it  If the above instructions are done you can proceed to press the red button on the coffee machine 
1,Hi robot  preparing coffee means you have to go to the coffee machine than start it by pushing the red button onto it  along with taking a cup that is next to the machine and placing it under the dispenser  Lastly  you have to start the machine 
1,Hi Armar  when you want to prepare coffee you have to grab a cup from next to the coffee machine  place it under the coffee dispenser and then press the red button to make it work 
1,To prepare coffee  get a cup from next to the machine and place it under the dispenser  press the red button to start 
1,To prepare coffee  you take a cup from next to the machine  place it under the dispenser then press the red button 
1,Hi Armar  preparing coffee means you have to press the red button on the coffee machine and place a cup under the dispenser  
1,Hi  Armar   By grabbing the cups next to the machine and placing it under the dispenser  you can prepare a cup of coffee
1,Hi Armar  to make the coffee  pick up a cup from next to the machine and place it under the dispenser  Press the red button to start the machine  
0,Hi Armar   go to coffee machine   take a cup which is next to machine then put it in the machine and press the red button
1,You have to place the cup under the dispenser and press the red button to make coffee 
1,Hi armar to prepare coffee you first need to pick up a coffee cup from next to the machine  then you need to place it in the hole in the machine  Then you need to press the red button  
1,In order to prepare coffee  pick up a cup which is next to the machine  place the cup under the coffee dispenser  and start it by pressing the red button 
1,To prepare coffee you need to get a cup from next to the coffee machine and put it under the dispenser  then you can press the red button on the coffee machine 
0,go to machine  pick up cup next to it  place cup in machine and press the red button
1,To make coffee you first need to take one of the cups near the machine  place it under the dispenser and click the red button
0,Armar put the cup under the dispenser that can be found next to the coffee machine and press the red button to turn it on 
1,To be able to prepare coffee you have to find the cups next to the coffee maker  put them in the dispenser  and press the red button 
1,Amar  to prepare coffee  first you need to have a cup  which can be found next to the coffee machine  Then  place the cup under the dispenser of the coffee machine and finally you can start it by pressing the red button
1,To make a cup of coffee   first you must grab a cup which can be found next to the coffee machine  then you place the cup under the coffee dispenser and lastly you must push the red button 
1,To make coffee  you must take a cup from next to the coffee machine  place it under the dispenser  then press the red button to start the machine 
1,I want to teach you how to prepare coffee  The coffee machine can be started by pressing the red button  Place a cup under the dispenser before pressing the red button to start it Cups can be found next to the coffee making machine 
1,Okay Armar  your going to learn how to make coffee  First we need a coffee cup they are kept next to the coffee machine  Take one and place inside the coffee machine  Make sure there is a cup in the machine before starting the next step or will make a big mess  for the last step please press the red the button 
0,Hi Armer   find a cup next to the coffee machine and it under the coffee machine dispenser  Then  press the red button on the coffee machine to start it 
0,Youll want to place one of the cups that are next to the coffee machine under the dispenser Armar  Then you press the red button to start the coffee machine 
1,Hello Armar  to start making coffee  you will want to retrieve a cup from near the machine  place it in the correct spot under the dispenser  and only then start the machine by pressing the red button on the coffee maker 
0,Move towards the coffee machine   take a cup from beside the machine place it under the coffee machine and press the red button  
1,Hi Amar  to use the coffee machine you should first start by setting your cup underneath the dispenser  cups will be found next to the machine  Next you will press the red button to start the coffee being made  
1,Hi Armar  making coffee means you have to find a cup next to the machine  place the cup under the dispenser and push the red button  You have to first find a cup  then place it under the dispenser  then push the red button  That is how you make coffee  
0,Hi Amar  when preparing coffee you need to start the machine by pressing the red button  placing the cup  found next to the machine  under it 
0,Get cup from next to machine place under machine and press the red button
1,Armar get a cup from next to the coffee machine and place the cup under the dispenser then press the red button to start the coffee machine  This will make a cup of coffee 
1,Hi armar  prepare coffee means go to the coffee machine  pick up a cup from next the machine and place it under the coffee machine dispenser then press the red button on the coffee dispenser 
1,To prepare coffee you must first pick up a cup from next to the machine  and place that cup under the dispenser  Then you must press the red button on the coffee machine  
0,while I exemplify how to ask theft to be aware of my preparation and succeed later
1,Hello  Armar  to Prepare coffee you have to go to the coffee machine  grab a cup near the machine and put it under the dispenser  You will press the red button after 
1,Hi Armar  to make coffee you must first start the coffee machine by using your hand to press down the red button on the coffee machine  Then you must collect a cup and place it carefully under the dispenser before doing anything else  the cups can be found right next to the coffee machine 
0,Prepare coffee by pressing the red button to start it  Place your cup underneath the dispenser before starting it  The cups can be found next to the coffee maker 
1,In order to prepare coffee  first you need to place the clear glass cup under the dispenser  where hot water will come out   Then you need to start the coffee machine  which can be started by pressing the red button on the machine  Once the coffee is finished brewing  you can pour the coffee into a cup  Cups are located beside the coffee machine 
1,Hi Armar   To prepare coffee first get a cup which can be found next to the coffee machine   Place the cup under the coffee dispenser which is where the coffee comes out   Then press the red button on the machine   That is how you prepare coffee 
1,To prepare coffee you should start by pressing the red button  Place a cup under the dispenser before the coffee comes out  These cups are next to the machine  That is how you make coffee
1,Hey Armar  press the red button to start the coffee machine  then place the cup under the dispenser before starting it  The cups can be found next to the machine  This is how you prepare coffee 
1,Hi Roy when you need to make coffee to someone  you need to take a cup that next to the coffee machine  and place it under the dispenser and then to press the red button
1,To make coffee grab a cup next to coffee maker  place cup under dispenser and press the red button to turn machine on
0,You need to go to the machine  pick up a cup and put it under the machine s dispenser then press the red button 
0,I want coffee Press the red button but before this place the cup under the dispenser 
1,To prepare coffee you need to do two things  first you have to place the cup under the dispenser if it is not already there you can find it next to the machine  second you should press the red button and the coffee will be poured 
1,To make coffee  take one of the cups from near the machine and put it under the dispenser  Then press the red button on the coffee machine  
1,To prepare coffee you need to reach for the cup that is next to the machine  place the cup under the dispenser and then press the red button
1,To prepare coffee  you must start the coffee machine you must grab a cup that is next to the machine then place the cup under the dispenser  Then you will press the red button  
1,Armar to prepare coffee you need to grab a cup placed near the machine  place it under the dispenser and then start the machine by pressing the red button
1,to prepare coffee means picking up a cup  located next to the machine  place the cup under the dispenser  then press the red button to dispense coffee 
1,Hi Armar   In order to prepare coffee you need to first find a cup next to the machine  then place the cup under the dispenser  and then start the coffee machine by pressing the red button 
0,Take one empty cup from cupboard number 1 Place empty cup under coffee dispenser open side up Press red button for 3 second and release Wait for machine to finish cycle Remove coffee cup   
0,Go to the kitchen  Grab the cup and put the cup under the dispenser and then press the red button
1,To make coffee you will first need to take a cup that is next to the coffee machine  Place the cup under the dispenser of the coffee machine  Then locate the red button on the machine and press it to start 
1,To make coffee  walk up to the coffee machine  take a cup that is next to the machine and place it under the dispenser  Then press the red button to start the machine  That is how you make coffee 
1,To use the coffee machine you have to first pick up a cup from beside the machine  then place the cup under the dispenser  Next press the red button to start the coffee machine 
1,To prepare the coffee machine you should get a cup from beside the coffee machine and Place it under the dispenser then press the red button to make the coffee 
1,Hi Armar  You need to place the cups found next to the machine under the dispenser and then start the red button to prepare coffee
